Station_code,Station_name,Latitude,Longitude,SUBZONE_NO,SUBZONE_N,SUBZONE_C,PLN_AREA_N,PLN_AREA_C,REGION_N,REGION_C
70251,Macpherson Stn Exit C,1.324971585,103.8903707,2,MACPHERSON,GLSZ02,GEYLANG,GL,CENTRAL REGION,CR
70259,Macpherson Stn Exit B,1.324987301,103.8908043,3,KAMPONG UBI,GLSZ03,GEYLANG,GL,CENTRAL REGION,CR
70261,Opp Orion @ Paya Lebar,1.32884297,103.8896275,2,MACPHERSON,GLSZ02,GEYLANG,GL,CENTRAL REGION,CR
70269,Citipoint Ind Cplx,1.328246111,103.8901439,3,KAMPONG UBI,GLSZ03,GEYLANG,GL,CENTRAL REGION,CR
70271,Le Crescendo,1.330781715,103.8893151,2,MACPHERSON,GLSZ02,GEYLANG,GL,CENTRAL REGION,CR
70279,Opp Trinity @ Paya Lebar,1.331557519,103.889515,3,KAMPONG UBI,GLSZ03,GEYLANG,GL,CENTRAL REGION,CR
70281,Aft Tai Seng Stn,1.335306278,103.888,12,JOO SENG,TPSZ12,TOA PAYOH,TP,CENTRAL REGION,CR
70289,Aft Tai Seng Stn Exit C,1.335064,103.888693,8,TAI SENG,HGSZ08,HOUGANG,HG,NORTH-EAST REGION,NER
70291,Asiawide Ind Bldg,1.337435,103.8871361,12,JOO SENG,TPSZ12,TOA PAYOH,TP,CENTRAL REGION,CR
70299,Opp Asiawide Ind Bldg,1.337475,103.8875831,8,TAI SENG,HGSZ08,HOUGANG,HG,NORTH-EAST REGION,NER
70301,Aft Paya Lebar St,1.3396576,103.8857592,12,JOO SENG,TPSZ12,TOA PAYOH,TP,CENTRAL REGION,CR
70309,Opp Paya Lebar St,1.33965,103.886397,8,TAI SENG,HGSZ08,HOUGANG,HG,NORTH-EAST REGION,NER
70311,Aft Genting Lane,1.323355698,103.8790142,1,KALLANG WAY,GLSZ01,GEYLANG,GL,CENTRAL REGION,CR
70319,Aft Kallang Way 4,1.323198462,103.8790476,1,KALLANG WAY,GLSZ01,GEYLANG,GL,CENTRAL REGION,CR
70321,Aft Kallang Way 1,1.322479822,103.8767409,1,KALLANG WAY,GLSZ01,GEYLANG,GL,CENTRAL REGION,CR
